Date,Open,High,Low,Close,Volume,Adj Close
2016-04-18,21.709999,22.27,21.67,22.27,174700,22.27
2016-04-15,22.120001,22.200001,21.700001,21.85,244800,21.85
2016-04-14,22.35,22.379999,22.190001,22.24,38000,22.24
2016-04-13,22.10,22.389999,21.959999,22.309999,86600,22.309999
2016-04-12,21.530001,22.24,21.32,22.049999,196800,22.049999
2016-04-11,21.629999,21.950001,21.469999,21.540001,122200,21.540001
2016-04-08,21.459999,21.60,21.34,21.530001,71400,21.530001
2016-04-07,21.450001,21.67,21.25,21.379999,54900,21.379999
2016-04-06,21.620001,21.709999,21.360001,21.60,53500,21.60
2016-04-05,21.76,21.92,21.549999,21.66,113400,21.66
2016-04-04,21.719999,21.940001,21.450001,21.860001,123100,21.860001
2016-04-01,21.52,21.74,21.34,21.700001,85100,21.700001
2016-03-31,21.290001,21.719999,21.290001,21.610001,77800,21.610001
2016-03-30,21.18,21.469999,21.110001,21.34,170200,21.34
2016-03-29,20.73,21.17,20.73,21.16,132000,21.16
2016-03-28,20.690001,20.90,20.57,20.799999,49200,20.799999
2016-03-24,20.690001,20.83,20.40,20.67,183000,20.67
2016-03-23,20.780001,20.85,20.690001,20.76,65200,20.76
2016-03-22,20.85,20.959999,20.559999,20.870001,72500,20.870001
2016-03-21,20.84,21.02,20.549999,21.01,96800,21.01
2016-03-18,20.610001,21.15,20.51,20.969999,133900,20.969999
2016-03-17,20.389999,20.60,20.18,20.469999,54400,20.469999
2016-03-16,20.25,20.559999,20.25,20.440001,75800,20.440001
2016-03-15,20.540001,20.57,20.200001,20.35,108400,20.35
2016-03-14,20.799999,20.83,20.450001,20.59,60700,20.59
2016-03-11,20.52,20.84,20.469999,20.799999,46100,20.799999
2016-03-10,20.74,20.83,20.219999,20.41,56500,20.41
2016-03-09,20.35,20.620001,20.24,20.549999,92500,20.549999
2016-03-08,20.530001,20.530001,20.200001,20.32,171400,20.32
2016-03-07,20.74,20.99,20.290001,20.57,112900,20.57
2016-03-04,20.780001,21.01,20.540001,20.799999,105200,20.799999
2016-03-03,20.77,21.01,20.51,20.780001,68300,20.780001
2016-03-02,20.559999,20.83,20.35,20.83,104500,20.83
2016-03-01,20.65,20.709999,20.27,20.709999,46900,20.709999
2016-02-29,20.58,20.90,20.530001,20.610001,74600,20.610001
2016-02-26,20.959999,21.219999,20.48,20.690001,80200,20.690001
2016-02-25,20.27,21.40,20.27,20.950001,180900,20.950001
